No,thread_url,post_code
272,https://www.threads.net/@asa_to_ame/post/DUp1p-0DyDd,DUp1p-0DyDd
273,https://www.threads.net/@asa_to_ame/post/DUpyq4ok0Au,DUpyq4ok0Au
274,https://www.threads.net/@asa_to_ame/post/DUpyq12kwUu,DUpyq12kwUu
275,https://www.threads.net/@asa_to_ame/post/DUpuwflj63k,DUpuwflj63k
276,https://www.threads.net/@asa_to_ame/post/DUpuxP_Dykp,DUpuxP_Dykp
277,https://www.threads.net/@asa_to_ame/post/DUpn5C6j9d3,DUpn5C6j9d3
278,https://www.threads.net/@asa_to_ame/post/DUpn7C0D3xo,DUpn7C0D3xo
279,https://www.threads.net/@asa_to_ame/post/DUnej__gVfG,DUnej__gVfG
280,https://www.threads.net/@asa_to_ame/post/DUnemJHATsv,DUnemJHATsv
281,https://www.threads.net/@asa_to_ame/post/DUndB0skx5g,DUndB0skx5g
282,https://www.threads.net/@asa_to_ame/post/DUndBMlE0-m,DUndBMlE0-m
283,https://www.threads.net/@asa_to_ame/post/DUnXtvFgZ7P,DUnXtvFgZ7P
284,https://www.threads.net/@asa_to_ame/post/DUnXv_mAe4K,DUnXv_mAe4K
285,https://www.threads.net/@asa_to_ame/post/DUnQ1Eygc2t,DUnQ1Eygc2t
286,https://www.threads.net/@asa_to_ame/post/DUnQ3DDAU-e,DUnQ3DDAU-e
287,https://www.threads.net/@asa_to_ame/post/DUnKZaEEyZA,DUnKZaEEyZA
288,https://www.threads.net/@asa_to_ame/post/DUnKZaukzoi,DUnKZaukzoi
289,https://www.threads.net/@asa_to_ame/post/DUnJ-cxgfGF,DUnJ-cxgfGF
290,https://www.threads.net/@asa_to_ame/post/DUnKAhWATGg,DUnKAhWATGg
291,https://www.threads.net/@asa_to_ame/post/DUnHqgok2_n,DUnHqgok2_n
292,https://www.threads.net/@asa_to_ame/post/DUnDGKgAUfI,DUnDGKgAUfI
293,https://www.threads.net/@asa_to_ame/post/DUnDIJ2ATh3,DUnDIJ2ATh3
294,https://www.threads.net/@asa_to_ame/post/DUmylPHE8zT,DUmylPHE8zT
295,https://www.threads.net/@asa_to_ame/post/DUmb2rmE8hs,DUmb2rmE8hs
296,https://www.threads.net/@asa_to_ame/post/DUk0oSMkyUe,DUk0oSMkyUe
297,https://www.threads.net/@asa_to_ame/post/DUkzT1BkxNu,DUkzT1BkxNu
